,,,shortest-path-length,shortest-path-length,shortest-path-length,shortest-path-length,weakest-link,weakest-link,weakest-link,weakest-link,norm
,,,min,mean,max,count,min,mean,max,count,-
graph,target,drug-name,,,,,,,,,
IG,Apoptosis,Alpelisib,5.0,5.0,5.0,3,1.0,1.0,1.0,3,
IG,Apoptosis,Everolimus,4.0,4.0,4.0,3,1.0,1.0,1.0,3,
IG,Apoptosis,Fulvestrant,4.0,4.0,4.0,3,1.0,1.0,1.0,3,
IG,Apoptosis,Ipatasertib,3.0,3.0,3.0,3,1.0,1.0,1.0,3,
IG,Apoptosis,Neratinib,5.0,5.0,5.0,3,1.0,1.0,1.0,3,
IG,Apoptosis,Palbociclib,,,,0,,,,0,
IG,Apoptosis,Trametinib,3.0,3.0,3.0,3,1.0,1.0,1.0,3,
IG,Proliferation,Alpelisib,8.0,8.0,8.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Everolimus,4.0,4.0,4.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Fulvestrant,8.0,8.0,8.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Ipatasertib,6.0,6.0,6.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Neratinib,8.0,8.0,8.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Palbociclib,5.0,5.0,5.0,4,1.0,1.0,1.0,4,
IG,Proliferation,Trametinib,6.0,6.0,6.0,4,1.0,1.0,1.0,4,
EG,Apoptosis,Alpelisib,1.9557291666666667,2.0991319444444447,2.2375,3,0.1640625,0.2526041666666667,0.296875,3,0.41982638888888896
EG,Apoptosis,Everolimus,3.583333333333333,3.6369791666666664,3.7260416666666667,3,0.14583333333333326,0.19947916666666662,0.2885416666666667,3,0.9092447916666666
EG,Apoptosis,Fulvestrant,1.2473958333333333,1.3010416666666667,1.3901041666666667,3,0.14583333333333326,0.16319444444444442,0.1796875,3,0.32526041666666666
EG,Apoptosis,Ipatasertib,0.7682291666666667,0.9116319444444446,1.05,3,0.1640625,0.2526041666666667,0.296875,3,0.3038773148148149
EG,Apoptosis,Neratinib,1.7036458333333337,1.8470486111111117,1.985416666666667,3,0.1640625,0.2657986111111112,0.3208333333333335,3,0.36940972222222235
EG,Apoptosis,Palbociclib,,,,0,,,,0,
EG,Apoptosis,Trametinib,0.7408854166666666,0.8842881944444443,1.0226562499999998,3,0.1640625,0.18923611111111108,0.20182291666666663,3,0.2947627314814814
EG,Proliferation,Alpelisib,4.416666666666667,4.548177083333334,4.744791666666667,4,0.2968750000000001,0.35546875,0.375,4,0.5685221354166667
EG,Proliferation,Everolimus,2.734375,2.8658854166666665,3.0625,4,0.2968750000000001,0.4283854166666667,0.625,4,0.7164713541666666
EG,Proliferation,Fulvestrant,3.178125,3.8798177083333334,4.640625,4,0.1796875,0.22096354166666665,0.23958333333333337,4,0.4849772135416667
EG,Proliferation,Ipatasertib,3.229166666666667,3.360677083333334,3.557291666666667,4,0.2968750000000001,0.3046875000000001,0.30729166666666674,4,0.5601128472222223
EG,Proliferation,Neratinib,3.8781250000000003,4.009635416666667,4.206250000000001,4,0.2968750000000001,0.3148437500000002,0.3208333333333335,4,0.5012044270833333
EG,Proliferation,Palbociclib,2.448958333333333,2.6304687500000004,2.869791666666667,4,0.22499999999999987,0.28281249999999997,0.3125,4,0.52609375
EG,Proliferation,Trametinib,2.915364583333333,3.046874999999999,3.243489583333333,4,0.20182291666666663,0.20182291666666663,0.20182291666666663,4,0.5078124999999999
EG-0.2,Apoptosis,Alpelisib,2.104166666666667,2.1708333333333334,2.2375,2,0.296875,0.296875,0.296875,2,0.4341666666666667
EG-0.2,Apoptosis,Everolimus,1.8541666666666667,2.7901041666666666,3.7260416666666667,2,0.2885416666666667,0.29270833333333335,0.296875,2,0.6975260416666667
EG-0.2,Apoptosis,Fulvestrant,,,,0,,,,0,
EG-0.2,Apoptosis,Ipatasertib,0.9166666666666667,0.9833333333333334,1.05,2,0.296875,0.296875,0.296875,2,0.3277777777777778
EG-0.2,Apoptosis,Neratinib,1.8520833333333337,1.9187500000000004,1.985416666666667,2,0.3125,0.31666666666666676,0.3208333333333335,2,0.3837500000000001
EG-0.2,Apoptosis,Palbociclib,,,,0,,,,0,
EG-0.2,Apoptosis,Trametinib,0.8893229166666666,0.9559895833333332,1.0226562499999998,2,0.20182291666666663,0.20182291666666663,0.20182291666666663,2,0.3186631944444444
EG-0.2,Proliferation,Alpelisib,4.416666666666667,4.548177083333334,4.744791666666667,4,0.2968750000000001,0.35546875,0.375,4,0.5685221354166667
EG-0.2,Proliferation,Everolimus,2.734375,2.8658854166666665,3.0625,4,0.2968750000000001,0.4283854166666667,0.625,4,0.7164713541666666
EG-0.2,Proliferation,Fulvestrant,3.178125,4.129166666666666,4.640625,4,0.22499999999999987,0.2359375,0.23958333333333337,4,0.5161458333333333
EG-0.2,Proliferation,Ipatasertib,3.229166666666667,3.360677083333334,3.557291666666667,4,0.2968750000000001,0.3046875000000001,0.30729166666666674,4,0.5601128472222223
EG-0.2,Proliferation,Neratinib,3.8781250000000003,4.009635416666667,4.206250000000001,4,0.2968750000000001,0.3148437500000002,0.3208333333333335,4,0.5012044270833333
EG-0.2,Proliferation,Palbociclib,2.448958333333333,2.6304687500000004,2.869791666666667,4,0.22499999999999987,0.28281249999999997,0.3125,4,0.52609375
EG-0.2,Proliferation,Trametinib,2.915364583333333,3.046874999999999,3.243489583333333,4,0.20182291666666663,0.20182291666666663,0.20182291666666663,4,0.5078124999999999
EG-0.4,Apoptosis,Alpelisib,,,,0,,,,0,
EG-0.4,Apoptosis,Everolimus,,,,0,,,,0,
EG-0.4,Apoptosis,Fulvestrant,,,,0,,,,0,
EG-0.4,Apoptosis,Ipatasertib,,,,0,,,,0,
EG-0.4,Apoptosis,Neratinib,,,,0,,,,0,
EG-0.4,Apoptosis,Palbociclib,,,,0,,,,0,
EG-0.4,Apoptosis,Trametinib,,,,0,,,,0,
EG-0.4,Proliferation,Alpelisib,,,,0,,,,0,
EG-0.4,Proliferation,Everolimus,2.8541666666666665,2.958333333333333,3.0625,2,0.41666666666666663,0.5208333333333333,0.625,2,0.7395833333333333
EG-0.4,Proliferation,Fulvestrant,,,,0,,,,0,
EG-0.4,Proliferation,Ipatasertib,,,,0,,,,0,
EG-0.4,Proliferation,Neratinib,,,,0,,,,0,
EG-0.4,Proliferation,Palbociclib,,,,0,,,,0,
EG-0.4,Proliferation,Trametinib,,,,0,,,,0,
